call_id,group,duration_seconds,evaluable,customer_speech,target_contact,explicit_promise,dated_promise,amount_agreed,prior_agreement,objection,relevant_response,alternative_offered,next_step_agreed,closure_recap,purpose,outcome,objection_type,review_status,needs_audio_review,binary_answer_prompt,legal_terms,zero_discount_phrase,generic_doubt_response
ai_001,ai,141.92,1,1,1,0,0,0,0,1,1,1,0,0,collection,refusal,liquidity|timing,transcript_reviewed,False,1,1,0,0
ai_002,ai,83.4,1,1,1,0,0,0,0,1,1,1,0,0,collection,refusal,liquidity|timing,transcript_reviewed,False,1,1,0,0
ai_003,ai,472.48,1,1,1,0,0,0,1,1,1,1,1,1,collection,follow_up,liquidity,transcript_reviewed,False,1,1,0,0
ai_004,ai,92.1,1,1,1,0,0,0,0,1,0,1,0,0,collection,unclear,amount_dispute,transcript_reviewed,False,0,1,0,1
ai_005,ai,434.46,1,1,,1,1,,0,1,1,1,1,1,collection,dated_promise,distrust|timing|amount_dispute,transcript_reviewed,True,1,1,0,1
ai_006,ai,67.16,1,1,0,0,0,0,0,0,,0,1,0,collection,third_party,,transcript_reviewed,True,0,1,0,0
ai_007,ai,90.82,1,1,1,0,0,0,0,1,0,0,0,0,collection,refusal,amount_dispute,transcript_reviewed,True,1,1,0,0
ai_008,ai,222.88,1,1,,1,1,1,0,0,,0,1,1,collection,dated_promise,,transcript_reviewed,False,1,1,0,0
ai_009,ai,201.42,1,1,0,0,0,0,0,1,1,0,1,1,collection,wrong_number,wrong_party,transcript_reviewed,False,0,1,0,1
ai_010,ai,66.6,1,1,0,0,0,0,0,1,1,0,0,1,collection,wrong_number,wrong_party,transcript_reviewed,True,0,1,0,0
ai_011,ai,185.06,1,1,1,1,1,1,0,1,1,0,1,0,collection,dated_promise,timing,transcript_reviewed,False,0,1,0,1
ai_012,ai,295.56,0,,,,,,,,,1,,0,collection,unclear,,transcript_reviewed,True,1,0,0,0
ai_013,ai,314.22,1,1,0,0,0,0,0,1,1,1,1,1,collection,third_party,wrong_party,transcript_reviewed,False,0,1,0,0
ai_014,ai,107.28,1,1,1,0,0,0,0,1,1,1,0,0,collection,refusal,liquidity,transcript_reviewed,False,0,1,0,0
ai_015,ai,156.08,1,1,,0,0,0,0,1,1,0,0,0,collection,unclear,amount_dispute,transcript_reviewed,False,0,1,0,1
ai_016,ai,100.36,1,0,0,0,0,0,0,0,,0,0,0,unclear,voicemail,,transcript_reviewed,False,0,0,0,0
ai_017,ai,439.72,1,1,1,1,1,1,0,1,1,1,1,1,collection,dated_promise,timing|liquidity,transcript_reviewed,False,1,1,0,0
ai_018,ai,104.5,1,1,0,0,0,0,0,1,0,0,0,0,collection,wrong_number,wrong_party,transcript_reviewed,False,0,1,0,0
ai_019,ai,297.66,1,1,1,0,0,0,0,1,0,0,0,0,collection,refusal,amount_dispute,transcript_reviewed,False,0,1,0,0
ai_020,ai,239.38,0,,,,,,,,,0,,0,collection,unclear,,transcript_reviewed,True,1,1,1,0
ai_021,ai,99.42,1,0,0,0,0,0,0,0,,0,0,0,unclear,voicemail,,transcript_reviewed,True,0,0,0,0
ai_022,ai,94.36,1,1,1,0,0,0,0,0,,1,0,0,collection,unclear,,transcript_reviewed,False,1,1,0,0
ai_023,ai,344.7,1,1,1,0,0,0,0,1,1,1,0,1,collection,refusal,liquidity,transcript_reviewed,False,1,1,1,0
ai_024,ai,403.36,1,1,1,0,0,0,0,1,1,1,0,0,collection,refusal,amount_dispute|liquidity,transcript_reviewed,False,1,1,0,0
ai_025,ai,454.06,1,1,1,0,0,0,0,1,1,1,1,1,collection,follow_up,liquidity|amount_dispute|channel_issue,transcript_reviewed,False,0,1,0,0
ai_026,ai,112.82,0,1,1,,,,0,1,1,0,,0,collection,unclear,amount_dispute,transcript_reviewed,True,1,1,0,0
ai_027,ai,68.58,1,1,1,0,0,0,0,1,1,0,0,0,collection,unclear,distrust|channel_issue,transcript_reviewed,False,0,1,0,1
ai_028,ai,561.58,1,1,1,0,0,0,0,1,1,1,1,1,collection,follow_up,liquidity|timing|channel_issue|amount_dispute,transcript_reviewed,False,1,1,0,0
ai_029,ai,60.32,0,,,,,,,,,,,0,collection,unclear,,transcript_reviewed,True,0,1,0,0
ai_030,ai,320.04,1,1,,1,1,1,0,1,1,1,1,1,collection,dated_promise,timing|distrust,transcript_reviewed,False,0,1,0,0
ai_031,ai,118.68,1,1,1,0,0,0,0,1,0,0,0,0,collection,refusal,timing,transcript_reviewed,False,0,1,0,0
ai_032,ai,131.1,1,1,,0,0,0,0,1,1,1,0,0,collection,unclear,amount_dispute,transcript_reviewed,True,1,1,1,0
ai_033,ai,87.52,0,,,,,,,,,1,,0,collection,unclear,,transcript_reviewed,True,1,1,1,0
ai_034,ai,90.7,1,1,0,0,0,0,0,1,1,0,0,0,collection,third_party,wrong_party,transcript_reviewed,False,0,0,0,0
ai_035,ai,272.22,1,1,,1,1,1,0,1,1,1,1,1,collection,dated_promise,timing,transcript_reviewed,False,1,1,0,0
ai_036,ai,88.0,1,1,0,0,0,0,0,1,1,1,0,1,collection,third_party,wrong_party,transcript_reviewed,False,0,0,0,0
ai_037,ai,533.7,0,1,1,1,,1,0,1,1,1,1,1,collection,undated_promise,timing|liquidity|other,transcript_reviewed,True,1,1,0,0
ai_038,ai,255.54,1,1,1,0,0,0,0,1,1,1,1,0,collection,follow_up,distrust|timing,transcript_reviewed,False,1,1,0,0
ai_039,ai,485.0,1,1,1,1,1,1,1,1,1,1,1,1,collection,dated_promise,liquidity|timing|amount_dispute,transcript_reviewed,False,1,1,1,0
ai_040,ai,99.86,1,0,0,0,0,0,0,0,,0,0,0,unclear,voicemail,,transcript_reviewed,False,0,0,0,0
ai_041,ai,104.52,1,1,1,0,0,0,0,0,,0,0,0,collection,unclear,,transcript_reviewed,True,1,1,1,0
ai_042,ai,114.26,1,1,0,0,0,0,0,1,1,0,1,1,collection,wrong_number,wrong_party,transcript_reviewed,False,0,1,0,1
ai_043,ai,263.72,1,1,1,1,1,1,0,1,1,1,1,0,collection,dated_promise,liquidity|timing|channel_issue,transcript_reviewed,False,1,1,0,0
ai_044,ai,166.04,1,1,1,0,0,0,0,1,1,1,0,0,collection,refusal,liquidity,transcript_reviewed,False,1,1,1,0
ai_045,ai,68.08,1,1,0,0,0,0,0,1,0,0,0,0,collection,wrong_number,wrong_party,transcript_reviewed,False,0,1,0,1
ai_046,ai,313.66,1,1,,1,0,1,0,1,1,1,1,0,collection,undated_promise,liquidity|timing,transcript_reviewed,True,1,1,0,0
ai_047,ai,461.22,0,1,,1,,1,0,1,1,1,1,1,collection,undated_promise,amount_dispute,transcript_reviewed,True,1,1,1,0
ai_048,ai,107.4,0,,,,,,,,,0,,0,unclear,unclear,,transcript_reviewed,True,0,0,0,0
ai_049,ai,486.06,1,1,1,1,1,1,0,1,1,1,1,1,collection,dated_promise,liquidity|timing|channel_issue,transcript_reviewed,True,1,1,0,0
ai_050,ai,85.22,0,,,,,,,,,0,,1,collection,unclear,,transcript_reviewed,True,0,1,0,0
human_001,human,309.52,1,1,,1,1,1,1,1,1,1,1,1,reminder,dated_promise,liquidity|timing|distrust,transcript_reviewed,False,0,0,0,0
human_002,human,87.2,1,1,1,1,1,1,1,1,1,0,1,1,reminder,dated_promise,timing,transcript_reviewed,True,0,0,0,0
human_003,human,105.64,1,1,0,0,0,0,,1,1,0,0,0,unclear,third_party,wrong_party|channel_issue,transcript_reviewed,True,0,0,0,0
human_004,human,141.48,1,0,0,0,0,0,0,0,,0,0,0,unclear,voicemail,,transcript_reviewed,False,0,0,0,0
human_005,human,594.72,1,1,,1,1,1,1,1,1,1,1,1,reminder,dated_promise,channel_issue|amount_dispute,transcript_reviewed,False,0,0,0,0
human_006,human,224.62,1,1,,0,0,0,0,1,1,1,1,1,collection,pending_approval,liquidity,transcript_reviewed,False,0,0,0,0
human_007,human,160.76,1,1,,0,0,0,1,1,1,1,0,1,reminder,follow_up,liquidity|timing,transcript_reviewed,True,0,0,0,0
human_008,human,143.74,1,1,,1,1,1,0,1,1,1,1,1,collection,dated_promise,distrust,transcript_reviewed,True,0,0,0,0
human_009,human,626.2,1,1,,1,1,1,1,1,1,1,1,1,collection,dated_promise,liquidity|distrust|amount_dispute|timing,transcript_reviewed,True,0,0,0,0
human_010,human,202.66,1,1,,1,1,1,0,1,1,1,1,1,collection,dated_promise,amount_dispute,transcript_reviewed,True,0,0,0,0
human_011,human,578.9,1,1,1,0,0,0,1,1,1,1,1,1,collection,pending_approval,liquidity|timing|amount_dispute,transcript_reviewed,False,0,0,0,0
human_012,human,123.4,1,1,1,0,0,0,1,1,1,1,1,1,reminder,follow_up,timing|channel_issue|liquidity,transcript_reviewed,True,0,0,0,0
human_013,human,132.6,1,1,0,0,0,0,1,1,1,1,1,1,collection,already_paid,already_paid|channel_issue,transcript_reviewed,False,0,1,0,0
human_014,human,76.0,1,1,1,1,1,1,1,1,1,1,1,1,reminder,dated_promise,liquidity|timing,transcript_reviewed,False,0,0,0,0
human_015,human,74.56,0,1,1,,,,1,1,1,1,1,1,reminder,follow_up,channel_issue,transcript_reviewed,True,0,0,0,0
human_016,human,299.5,1,1,,0,0,0,0,1,1,1,1,1,collection,follow_up,other,transcript_reviewed,False,0,1,0,0
human_017,human,201.9,1,1,1,0,0,0,1,1,1,1,0,1,reminder,refusal,liquidity|timing,transcript_reviewed,False,0,1,0,0
human_018,human,116.42,1,1,,1,1,,1,1,1,1,0,1,reminder,dated_promise,liquidity|timing|channel_issue,transcript_reviewed,True,0,0,0,0
human_019,human,166.74,1,1,1,1,1,1,1,1,1,1,1,1,reminder,dated_promise,liquidity|timing,transcript_reviewed,False,0,0,0,0
human_020,human,243.4,1,1,,0,0,0,1,1,1,1,1,1,reminder,follow_up,channel_issue,transcript_reviewed,True,0,0,0,0
human_021,human,137.76,1,1,,1,0,,1,1,1,1,1,1,reminder,undated_promise,timing|channel_issue,transcript_reviewed,True,0,0,0,0
human_022,human,395.24,1,1,1,0,0,0,,1,1,1,1,1,collection,follow_up,liquidity|distrust|timing,transcript_reviewed,False,0,0,0,0
human_023,human,160.78,1,1,,1,1,,1,1,1,1,1,1,reminder,dated_promise,channel_issue|timing,transcript_reviewed,False,0,0,0,0
human_024,human,177.64,1,1,,0,0,0,0,1,1,1,1,0,collection,follow_up,liquidity|timing|channel_issue,transcript_reviewed,True,0,0,0,0
human_025,human,294.54,1,1,1,0,0,0,1,1,1,1,1,1,reminder,follow_up,channel_issue,transcript_reviewed,False,0,0,0,0
human_026,human,145.24,1,1,,0,0,0,1,1,1,1,0,1,reminder,follow_up,liquidity|timing,transcript_reviewed,True,0,0,0,0
human_027,human,118.26,1,1,,1,1,1,0,0,,1,1,1,collection,dated_promise,,transcript_reviewed,True,0,0,0,0
human_028,human,643.48,1,1,1,0,0,0,1,1,1,1,0,0,collection,refusal,amount_dispute|liquidity,transcript_reviewed,False,0,1,0,0
